oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____XXXXXXXXXXXX____2024-I,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor
Holz-Flügelrahmen,318f08e0-1b04-49eb-ab16-531482cd75da,7907e693-d970-4958-adfd-223b541fc731,b0c75d7b-4cce-41cf-b785-1db434ee9c3f,Holz-Flügelrahmen,Holzrahmen,EV+,EV+,0
,,,,"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ","Holz-Alu-Rahmen, Regelvermutung HSM",EV+,EV+,0
,,,,"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM","Holz-Alu-Rahmen, Nachweis kein HSM",RC-,RC+,0.75
Holzwolle-Leichtbauplatte,76d3f78a-8743-49fe-b4a1-f43b819cb930,bd815e7e-3b87-4a2a-b51e-fd56488de930,ac8de42f-3cff-4ca8-b8cc-c0db6daf089b,Holzwolle-Leichtbauplatte,Holzzement,Dep-,SV,0.25
HPL-Platte,8cf90240-cbdd-4415-93a8-9c56da22f111,b2afc2f7-d973-442f-bda4-5d37a047534f,f0da3c81-3912-4ea2-8e6b-bc9c789e859e,HPL-Platte (High pressure Laminate),HPL,EV+,EV+,0
Hüttenstein,a4fceab4-71a2-46c9-ac9a-19a964d48ce5,9fb201e2-741a-49bb-871d-098bfa312f8e,2ad3b93b-b559-404e-8b63-99c69d472896,Hüttensteine,Hüttenstein,RC-,RC-,1
Innendispersionsfarbe scheuerfest,35be6146-5a80-4a9e-a32d-5d05c03a8d5c,fd7496b3-e4d0-45f6-838b-4db5bc3a66e8,b0b25f5c-0982-4f75-b75b-bb28f5807b64,Innenfarbe Dispersionsfarbe scheuerfest,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
,,,,"Innentür (Pappe mit Wabenstruktur), Fl.gew.8 kg/m², laminiert oder lackiert ","Innentür - Karton, Röhrenspanstreifen",EV-,EV-,0
,,,,"Innentür (Röhrenspanplatte), Fl.gew.15 kg/m², laminiert oder lackiert ","Innentür - Karton, Röhrenspanstreifen",EV-,EV-,0
,,,,"Innentür (Röhrenspanstreifen), Fl.gew.12 kg/m², laminiert oder lackiert ","Innentür - Karton, Röhrenspanstreifen",EV-,EV-,0
,,,,"Innentür (Vollspanplatte), Fl.gew.23 kg/m², laminiert oder lackiert",Innentür - Spanplatte,EV-,RC-,0.75
,,,,"Innentür (Vollspanplatte), Fl.gew.34 kg/m², laminiert oder lackiert",Innentür - Spanplatte,EV-,RC-,0.75
,,,,"Innentür Massivholz, lackiert, Fl.gewicht 12 kg/m²","Innentür - Holz massiv, beschichtet",RC+,CL-,1
,,,,"Innentür Massivholz, unbehandelt oder geölt, Fl.gew. 12 kg/m²","Innentür - Holz massiv, unbeschichtet",RC+,CL+,0.75
,,,,"Innentür Metallzarge lackiert, Gewicht/lfm, d (IW)=10cm",Stahl - Stahl(blech) verzinkt,CL-,CL-,1
,,,,"Innentür Metallzarge lackiert, Gewicht/lfm, d (IW)=20cm",Stahl - Stahl(blech) verzinkt,CL-,CL-,1
,,,,"Innentür Metallzarge lackiert, Gewicht/Stk, d (IW)=10cm, Türlichte 0,9 x 2,0",Stahl - Stahl(blech) verzinkt,CL-,CL-,1
,,,,"Innentür Metallzarge lackiert, Gewicht/Stk, d (IW)=20cm, Türlichte 0,9 x 2,0",Stahl - Stahl(blech) verzinkt,CL-,CL-,1
Isolierglas 2-Scheiben,d941f45e-1244-419c-a083-e4a49fb5498e,c58cb849-f05f-4edf-af22-8f87c1f84975,d7bf4202-d1a8-4f3e-8861-c3d78cd2bf70,Isolierglas 2-Scheiben,Wärmeschutzverglasung,RC-,RC+,0.5
Kabel 1 adrig,nicht vorhanden,59750b68-e513-446d-818d-cbe3cda6acd8,f52e3411-95da-40e8-8a83-fc95fac0c961,Kabel 1 adrig,nicht eingestuft,n.e.,n.e.,n.e.
Kabel 3 adrig,,c9f3de03-55fb-4d50-8e55-2d718e46ff61,b6e98ada-b4ee-41d6-bc1f-1b6a6a9379f2,Kabel 3 adrig,nicht eingestuft,n.e.,n.e.,n.e.
Kabel 5 adrig,,7856b133-31a0-4059-b368-dc227108336e,1604f900-851d-4785-a409-42a88d753200,Kabel 5 adrig,nicht eingestuft,n.e.,n.e.,n.e.
Kabel CAT 7,,9d929c66-5acb-4d2e-b5c1-b3c8b3b9930c,e4b63ac8-2194-4511-aa59-38132ff71387,Kabel CAT 7,nicht eingestuft,n.e.,n.e.,n.e.
Kabelkanal PVC hart,57a22bb4-0370-471f-b76c-52699e702966,10a77041-9968-4a59-ab18-711b14797f04,0c97fb5f-67df-495e-bac5-f5d931f58a90,Kabelkanal PVC hart,nicht eingestuft,n.e.,n.e.,n.e.
"Kalk (CaO, Feinkalk)",d1d6f54d-9709-4302-8276-fdb7d06801fd,d63868d0-5a54-40fd-ad33-5eee2b0228e1,e0673d46-3be4-43b5-af2b-eca25573b68a,"Kalk (CaO, Feinkalk) Grundstoff nicht eingestuft",nicht eingestuft,n.e.,n.e.,n.e.
Kalkfarbe,7baed44c-c80b-4340-b3af-f01d71fbbb43,5a4cd709-d5a4-40ba-9557-d7a546bb4ce0,198223f3-acee-40be-93bb-0e7b365cacfc,Kalkfarbe,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0
Kalk-Gips-Innenputz,nicht vorhanden,4906fae7-6013-4d08-a765-642314c0bfd2,9a670d29-efb9-4fde-95ab-182a0b1e7280,Kalk-Gips-Innenputz auf Massivbaustoff,Gipsputz (auf Gipsbaustoff),Dep+,RC-,0.25
Kalk-Gips-Innenputz,70f6e305-e46f-4719-a94f-70267b936029,4906fae7-6013-4d08-a765-642314c0bfd2,9a670d29-efb9-4fde-95ab-182a0b1e7280,Kalk-Gips-Innenputz auf Gipsbaustoff,Gipsputz (auf Massivbaustoff),Dep+,Dep+,0
Kalk-Innenputz,07f3cd13-22bb-494d-803a-f0a440fbce7a,e0fdab1d-684b-44a5-8453-ef0f887addab,eea7e352-bf1d-4e6d-9029-689d7936e6a7,Kalk-Innenputz,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
Kalkputzmörtel,d7f4a913-441f-4c21-aae5-42e421737e29,54e731d4-b14d-48eb-bbe5-02eb19e6a7e3,ddc96ae4-086c-4033-9e45-c5589f1661ba,Kalkputzmörtel,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
Kalksandstein,29e6c6cf-0552-4e4b-85c7-26a68a625252,722467a6-68cb-4676-bf9f-c6ea1d36594f,c916ceb3-a44d-40b7-8984-861afa589956,Kalksandstein,Kalksandstein,SV,RC-,0.75
Kalkzement Putzmörtel,dea7df16-f59b-4842-a66c-cb9463a58ae3,cf335713-922c-446a-ba90-f225534bfc03,dca9f05c-036b-40e5-ae81-c957c2420fd8,Kalkzement Putzmörtel,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
Kalkzementmörtel,50180064-236e-4e52-9a1e-f172dde80844,d225240a-821d-469b-add2-f2c5f93b9b3f,af98c17b-b748-4d08-b5d5-9ff028ae7f25,Kalkzementmörtel,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
"Kalziumhydroxid (Ca(OH)2, trocken, gelöscht)",39bd1632-3f36-410c-86d9-cab27e91b1c5,759f9742-cd53-4b8f-b8ae-dec49c3378e9,0293b4f2-e2cb-466b-bb53-bd4505aa5138,"Kalziumhydroxid (Ca(OH)2, trocken, gelöscht) Grundstoff nicht eingestuft",nicht eingestuft,n.e.,n.e.,n.e.
Kältemaschine (500kW),nicht vorhanden,fb40e2a0-03df-4ee4-8947-29068389e8d5,cc071698-9d73-4315-b470-e13dfcdba10a,Kältemaschine (500kW),nicht eingestuft,n.e.,n.e.,n.e.
Kältemittel R404a,nicht vorhanden,c3ed198f-1951-4bc2-8802-372454e9b4a2,f53ffd98-c6cf-4153-b484-4c5d7e233974,Kältemittel R404a,nicht eingestuft,n.e.,n.e.,n.e.
Kältemittel R407c,nicht vorhanden,88d58ba3-8ed7-453c-b29c-cce9711867cb,63aa9c75-83a6-49d8-a0bc-ae47c0b5e7f3,Kältemittel R407c,nicht eingestuft,n.e.,n.e.,n.e.
Kältemittel R410a,nicht vorhanden,06201aae-fd01-450d-ad24-e16b74fc2342,a9ab7d02-744c-4269-b3e1-a9fc7304e95e,Kältemittel R410a,nicht eingestuft,n.e.,n.e.,n.e.
Kautschuk-Dichtmasse,7a4d3393-a33a-47c8-b42f-42d8ec6a90f6,eee26d67-c05d-4c1c-8502-0e42c91f37fc,a2f0ddd4-a64e-4be8-a844-922013a2ac37,Kautschuk-Dichtmasse,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..",EB,EB,0
Kesselsand,c9498f76-822a-4bd8-aadd-85b3ac57462f,0902759d-b73b-46e8-a931-1a676be33e14,38b91399-b79d-491a-b172-2343d7b65c0d,Kesselsand; Grundstoff nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
Kies (Korngröße 2/32),3ce61a4e-4d91-4b1d-b675-276be05b9225,ed8da770-fc78-40cd-acb1-40f062330f9c,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,Kies 2/32,Kies / Schotter / Splitt,CL+,CL+,1
Kies 2/32 (getrocknet),e7b1d3c2-3494-4ae6-9f98-d4d507dcd0c2,6b1052ed-f1f0-4f35-919b-3884df8da950,a7bad3b6-2123-483b-99b5-2ec481254be7,Kies 2/32 getrocknet,Kies / Schotter / Splitt,CL+,CL+,1
Kippschalter (Lichtschalter),nicht vorhanden,85e0c69f-ec3d-4dbb-bc39-fb653ea39183,ec113894-769a-464d-acc7-52b01f0c1775,Kippschalter (Lichtschalter),nicht eingestuft,n.e.,n.e.,n.e.
Kleber für Gipsplatten,43c3fd78-c67e-438b-b726-dd512df5d881,fc442d0a-fbc4-4304-ace8-24304756e2df,2deb4078-5323-4785-ad2a-913eb66dcf5d,Kleber für Gipsplatten,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
Klimagerät (Direktverdampfer) (pro 1 kW),nicht vorhanden,9da0974d-cd0c-402f-a72e-ee07f2da68d6,d6a6a07b-4191-4055-80e7-f1cf99f0b246,Klimagerät (Direktverdampfer) (pro 1 kW),nicht eingestuft,n.e.,n.e.,n.e.
Kohlenstoffdioxid (R744),nicht vorhanden,d2ca1ae9-8d5e-480e-bd57-70c73dd1da50,a3763da5-91b7-4dc9-b150-be14df009c83,Kohlenstoffdioxid (R744),nicht eingestuft,n.e.,n.e.,n.e.
Kompaktleuchtstofflampe 18W (Vorschaltgerät extern),nicht vorhanden,a2a3c09c-3287-4b14-a892-34dd28c9d6c8,5f0cafe0-c174-4313-9fc7-16ae59cd6826,Kompaktleuchtstofflampe 18W (Vorschaltgerät extern),nicht eingestuft,n.e.,n.e.,n.e.
"Konstruktionsvollholz (generisch, 15% Feuchte / 13% H2O)",703eec32-59af-47e1-9c91-4a32afe3187f,f7f147bb-a27f-491a-9f5a-b21d6f24c61c,6b363ddc-f127-4d44-9f4b-54daada07465,Konstruktionsvollholz - naturbelassen,"Holz - massiv, naturbelassen",RC+,CL+,0.75
"Konstruktionsvollholz (generisch, 15% Feuchte / 13% H2O)",703eec32-59af-47e1-9c91-4a32afe3187f,f7f147bb-a27f-491a-9f5a-b21d6f24c61c,6b363ddc-f127-4d44-9f4b-54daada07465,Konstruktionsvollholz - beschichtet,"Holz - massiv, beschichtet",RC+,CL-,1
"Konstruktionsvollholz (generisch, 15% Feuchte / 13% H2O)",703eec32-59af-47e1-9c91-4a32afe3187f,f7f147bb-a27f-491a-9f5a-b21d6f24c61c,6b363ddc-f127-4d44-9f4b-54daada07465,Konstruktionsvollholz - Störstkl. S4 (Neueinstufung),"Holz - behandelt mit HSM , FSM oder Beschichtung schwermetallfrei und halogenorg. V. > 1 und <= 3 M %",EV-,EV-,0
Korklinoleum Fußbodenbelag,e5f97559-bb92-4c23-a722-480da1b559ad,f3a3bf90-a295-4aab-9bfc-af3fe20c921b,a7c7dd86-4cbe-487c-89f9-1bdd8ebdabec,Korklinoleum Fußbodenbelag,Elast BB - Linoleumbelag,EV-,EV-,0
"Korkplatten 1 m², 8 mm (generisch)",360cbe6a-bd01-4660-bd08-f7d3eb3d8b79,717cc09a-e2c5-48fb-913e-24b54fc5e851,348671a9-852b-4bb0-bcc3-3847e5e4a843,"Korkplatten 1m² (Dicke 0,004 m)",Korkplatten (Korkgranulat mit Bindemittel),EV+,EV+,0
"Korkplatten 1m2, 4 mm (generisch)",4e2c6692-148d-4311-b0cf-f0f174002d9e,2d82e639-2be1-4861-92f8-944623ee385e,dfb4dceb-e6a4-4fd8-bb42-f06b4e414e38,"Korkplatten 1m² (Dicke 0,008 m)",Korkplatten (Korkgranulat mit Bindemittel),EV+,EV+,0
"Korkplatten 1m2, 6 mm (generisch)",38babeb7-2b2f-42e2-9270-0daac46ebe07,4116031f-9ee7-4ac0-93e7-972c4b2de8a0,b49b3145-9b55-46db-9a28-2359355f398e,"Korkplatten 1m² (Dicke 0,006 m)",Korkplatten (Korkgranulat mit Bindemittel),EV+,EV+,0
Kraftpapier,b1ea7c10-4471-4485-95bf-7dc0a00025b6,03f8e9cd-16ee-4ece-93bc-b68441d34afe,94c64884-f86e-44b1-9e55-8570cce6f43d,Kraftpapier (Baupappe),Pappe,EV+,EV+,0
Kunstharzestrich,e98995e0-f945-4fea-849f-cec0aff6cb0c,8f060568-aca6-4375-86f4-340b806962c4,83514986-e053-4b4b-9570-c04f37babb24,Kunstharzestrich,Estrich SR - Kunstharzestrich,Dep-,Dep-,0
Kunstharzputz,4a7c30d1-37d7-47e2-8271-dbb3bee91560,8a29439a-9d91-44e7-b157-1432b44937f9,5541250a-f8d8-4c67-9f24-47ab54686c30,Kunstharzputz,organ. Putz,Dep-,Dep-,0
Kunststeinplatte (Epoxidharz gebunden),ccdb5f3c-7305-46c7-ad5b-a05bb922a743,11440edc-cfba-40af-bd2d-0db71afe444b,514d0f56-13d8-45a3-9267-01be064d6ce3,Kunststeinplatte (Epoxidharz gebunden),Kunststein,Dep-,Dep-,0
Kunststoffmodifizierte Bitumendickbeschichtung,nicht vorhanden,0ba43350-3932-4e1d-a862-e88aa0ad2c7f,85c48e5f-299c-463b-9aaf-da332a29dfe0,Kunststoffmodifizierte Bitumendickbeschichtung,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung, Dichtmassen..",EB,EB,0
Kunststoffprofil CR (Chloropren-Kautschuk),884efbb3-7be6-4e4d-9726-c39c1b781436,2d81c58c-1cd9-40be-b7d2-96d7de6b9296,2630158e-fc89-4b2d-bb7d-4a193fb58324,Kunststoffprofil CR (Chloropren-Kautschuk),KSTProfil (Halog),EB,EB,0
Kunststoffprofil EPDM,31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,963ffb34-439a-4cab-9bfb-28c9b42533f2,432e4b39-301e-4154-ac8a-ac635d6c36ad,Kunststoffprofil EPDM,KSTProfil,EV-,EV-,0
Kunststoffprofil PP mit Glasfaseranteil,nicht vorhanden,968109bb-8aea-4c22-a7ca-ea2ef02208cf,a632df4b-08f4-4b10-95bc-73e92d7255b6,Kunststoffprofil PP mit Glasfaseranteil,KSTProfil,EV-,EV-,0
Kunststoffprofil SBR,1b69b3a2-3164-436b-a934-ed7d926f5f53,4e679d88-9a0f-4ada-9210-5a6e1e020771,01726dcb-d5e9-44d2-b1df-f7fabc350723,Kunststoffprofil SBR,KSTProfil,EV-,EV-,0
Kunststoffprofil Silikon,763abb33-ad4f-44fa-bc49-8c483e67b2b1,56674647-992d-4d42-8955-fb3617c1404e,7091bebb-3c82-4b48-991d-08be78992f57,Kunststoffprofil Silikon,KSTProfil,EV-,EV-,0
"Kunststoffteil aus laminiertem Polyesterharz (GFK, 30% Glasfaseranteil)",a051b8eb-5e03-486a-b9c3-bfc9d19234de,d03450fd-9438-43f7-9ee8-45faa63b1333,7fc79af4-8de4-44f8-9bf7-69cd5532fca5,"Kunststoffteil aus laminiertem Polyesterharz (GFK, 30% Glasfaseranteil)",KSTProfil,EV-,EV-,0
Kupferblech,nicht vorhanden,52ce9f28-1199-4ed5-a777-923229ee2eed,e5a4ebf9-0e5c-4fd8-bb04-1acb5497312f,Kupferbleche,Kupfer,CL+,CL+,1
Lacksysteme Holzfassade deckend (Decklacksystem),c1bc4706-9d3a-4468-8ecb-5a569226d75f,2662edec-0657-4889-bf64-4e811ac8e652,10c87a16-01f1-4948-9d52-45e364d28534,Lacksysteme Holzfassade deckend (Decklacksystem),Lacke (auf Holzuntergrund),EV-,EV-,0
Lacksysteme Holzfassade halb-pigmentiert (Lasursystem),1a4a4522-7297-4ae5-a430-689e89ec2159,a7829637-2436-489c-9e94-6642817e1926,d0f21725-9c8e-41b7-9e38-83878b95930b,Lacksysteme Holzfassade halb-pigmentiert (Lasursystem),Lacke (auf Holzuntergrund),EV-,EV-,0
Lacksysteme Holzfenster Decklack weiß,2e5ca27a-fcd0-4dc1-b0ab-4a4c7eb4e030,9a0a1631-fccc-43bc-8911-817cbb79f49b,b98e2a9b-fc58-44a5-af19-149f560bee8d,Lacksysteme Holzfenster Decklack weiß,Lacke (auf Holzuntergrund),EV-,EV-,0
Lacksysteme Holzfenster Grundierung weiß,d5fe89f0-5fd2-4981-bb87-e74bbf13ef88,9b8c0626-bb59-43f5-86dd-97484cc5d4c1,152ff22b-522e-400e-baee-812a9c6443d9,Lacksysteme Holzfenster Grundierung weiß,Lacke (auf Holzuntergrund),EV-,EV-,0
Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß,08138b62-1b5f-497a-bf9a-d7f857a2e575,b347b33b-8a05-4d0a-83c4-1337c986a775,b4a1a7a4-d5b2-4abe-85d8-88506b234a4d,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß,Lacke (auf Holzuntergrund),EV-,EV-,0
Laminat DPL (Direct Pressed Laminate),nicht vorhanden,7c411026-6771-4fb6-85bf-85b248486409,14286caa-6bc1-4aa0-93d6-22d0f5b21195,Laminatboden,Laminat,EV-,EV-,0
Lava Körnung,f8d6bd85-55e0-42d3-982b-b814387b7f58,e2799f93-b221-48c5-b7ee-9dd39850e379,2812667f-8ca5-4ee1-a9ac-7ed13045b7ff,Lava Körnung,Bims / Blähschüttung,Dep+,RC+,0.75
LED Bürobeleuchtung,nicht vorhanden,b6dd564d-22e0-47b7-898c-802644931ba4,0e2e98a9-5664-4b67-9bb2-cdb2ed805cb1,LED Bürobeleuchtung,nicht eingestuft,n.e.,n.e.,n.e.
Lehmbauplatte,6aff7a60-d7cd-430e-8b15-02556b6f62ff,eb255e58-7955-4d25-a333-4db0340b2864,c0915390-0e80-4253-9345-71fd83ef3c99,Lehmbauplatte,Lehmbauplatte,SV,CL+,0.75
Lehmbauplatte,6aff7a60-d7cd-430e-8b15-02556b6f62ff,eb255e58-7955-4d25-a333-4db0340b2864,c0915390-0e80-4253-9345-71fd83ef3c99,Lehmbauplatte mit CL-Nachweis,Lehmbauplatte mit CL-Nachweis,CL+,CL+,1
,,,,Lehmfarbe,"Lehmfarbe, auf Lehmplatte",Dep+,CL+,0.75
,,,,Lehm-Klebe- und Haftmörtel,Lehmputz,SV,CL+,0.75
Lehmpulver,3d9f0293-304f-4731-8136-326cebf8b1f0,514b2993-2942-44b1-a4a5-a1b209f14d2a,a60489dc-32f2-4ff6-83d2-eb8f4f630ebd,Lehmpulver; Grundstoff nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,422b2446-8a3f-457d-b47b-4728b2869d86,Lehmputz,Lehmputz,SV,CL+,0.75
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,422b2446-8a3f-457d-b47b-4728b2869d86,Lehmputz mit CL-Nachweis,Lehmputz mit CL-Nachweis,CL+,CL+,1
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,422b2446-8a3f-457d-b47b-4728b2869d86,Lehmputz mit Störstoff S4,Lehmputz mit Störstoff S4,Dep+,Dep+,0
Lehmputz,8be785fa-5548-4ea5-a2d7-b962675b9eff,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,422b2446-8a3f-457d-b47b-4728b2869d86,"Lehmputz, kunststofffaserarmiert","Lehmputz, kunststofffaserarmiert",Dep+,CL+,0.75
,,,,Lehmschüttung granuliert,Lehm,SV,CL+,0.75
,,,,Lehmschüttung granuliert mit CL-Nachweis ,Lehm mit CL-Nachweis,CL+,CL+,1
Lehmstein,606d978a-c44a-4b3e-8387-b1291b12e522,f25983c6-104a-4d19-8d2a-c0dccafa2f3b,4c009f04-44e1-42e3-a32e-4929294debab,Lehmstein,Lehm,SV,CL+,0.75
Lehmstein,606d978a-c44a-4b3e-8387-b1291b12e522,f25983c6-104a-4d19-8d2a-c0dccafa2f3b,4c009f04-44e1-42e3-a32e-4929294debab,Lehmstein mit CL-Nachweis,Lehm - Störstoffkl. S4 (Neueinstuf.),Dep+,Dep+,0.75
Lehmstein,606d978a-c44a-4b3e-8387-b1291b12e522,f25983c6-104a-4d19-8d2a-c0dccafa2f3b,4c009f04-44e1-42e3-a32e-4929294debab,Lehmstein - Störstoffkl. S4 (Neueinstuf.),Lehm mit CL-Nachweis,CL+,CL+,1
"Leichtbauplatte, melaminbeschichtet",nicht vorhanden,02a3f312-ea5e-45e5-b358-d50cb94c4fd5,bfa45a2b-0f25-4dea-b550-50f3d49a548f,"Spanplatte, melaminbeschichtet",Melaminbeschichtet,EV-,EV-,0
Leichtbetonstein aus 100% Naturbims,63ddb7e1-4e0b-43cb-8a8d-82c5c137a2a2,da067a10-d690-4308-831d-ada8ad78b8ad,a1deced7-6fa9-4266-bc86-da75b3653b06,Leichtbetonstein aus 100% Naturbims,Leichtbeton - best case,SV,RC-,0.25
,,,,Leichtlehm (Stroh-Lehm-Gemisch),Leichtlehm (organ./mineral.),SV,RC-,0.75
,,,,Leichtlehmputz,Leichtlehm (organ./mineral.),SV,RC-,0.75
,,,,Leichtputz mineralisch (mineral. Untergrund),"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0
Leuchstoffröhrenfassung T8-18W (LFL),nicht vorhanden,c082c343-931e-41ca-a906-d18380463b43,31b3765c-c538-4657-ac6f-cbaa920ed70d,Leuchstoffröhrenfassung T8-18W (LFL),nicht eingestuft,n.e.,n.e.,n.e.
Leuchstoffröhrenfassung T8-36W (LFL),nicht vorhanden,b96a374e-5920-4730-8c3e-22e5f3d2035e,27b1b323-93ff-4ae1-b098-e75a240ef345,Leuchstoffröhrenfassung T8-36W (LFL),nicht eingestuft,n.e.,n.e.,n.e.
Leuchtstoffröhre T5-14W,nicht vorhanden,16b26d8e-8695-4abe-b655-6fc592625c70,4f99181e-1b4d-43a2-8ae0-cd0d68f778d6,Leuchtstoffröhre T5-14W,nicht eingestuft,n.e.,n.e.,n.e.
Leuchtstoffröhre T5-28W,nicht vorhanden,b2a3220e-9dcb-4d91-9721-d6654b10119e,8c93b1c6-1076-41cc-a4a3-24e5fac256a1,Leuchtstoffröhre T5-28W,nicht eingestuft,n.e.,n.e.,n.e.
Leuchtstoffröhre T8-18W,nicht vorhanden,f85424cf-3ee7-4c8b-b2bd-939307c202ae,f3cadb1a-4b24-4c97-92e5-ce122716805f,Leuchtstoffröhre T8-18W,nicht eingestuft,n.e.,n.e.,n.e.
Leuchtstoffröhre T8-36W,nicht vorhanden,0d968a32-96fb-4ba4-9497-3c343cd8ecde,d1e8a149-7d1f-4e81-b845-fe1f230e3a7a,Leuchtstoffröhre T8-36W,nicht eingestuft,n.e.,n.e.,n.e.
,,,,"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]",KSTProfil ,EV-,EV-,0
Linoleum,56e977b3-d042-4843-b40d-3a33dbb5a555,c3d7aef9-38a6-4d2a-a77f-2eee25461482,ed391263-0e6d-43dd-ad3e-43607545f281,Linoleum,Elast BB - Linoleumbelag,EV-,EV-,0
Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität),nicht vorhanden,c64f9557-37d7-40f6-b118-a35dc72fc45c,5b430e64-fcd6-42b6-9b2a-18661249a335,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität),nicht eingestuft,n.e.,n.e.,n.e.
Lithiumbromid,nicht vorhanden,f877e931-42b3-4675-a6ea-82ad950eb831,f8feff2f-bcfd-4133-984c-32fc6bb23694,Lithiumbromid,nicht eingestuft,n.e.,n.e.,n.e.
Lose Hobelspandämmung,nicht vorhanden,31a631f0-1acf-4ec4-885b-d97de6d9f4ea,33c70403-553e-442c-ac5b-0ee86cceffd6,Lose Hobelspandämmung,Hobelspäne unbehandelt,EV-,CL+,0.75
Lösemittellack weiß,95c6760d-1605-430b-8216-825f6c0ac409,511b2af7-f9b9-4e1f-8b9e-fd4ac548aa6c,c307b6f8-af7a-44df-a093-1f8ba2a73fb9,Lösemittellack weiß,Lacke (auf Holzuntergrund),EV-,EV-,0
Lüfter dezentral (Wand & Decke) 60 m3/h,nicht vorhanden,cb36ce5f-47d7-4d02-bc07-1e8da903e5c0,d33c929c-b924-413a-9720-4395c7398741,Lüfter dezentral (Wand & Decke) 60 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter dezentral mit WRG (Wand & Decke) 60 m3/h,nicht vorhanden,ef7e0021-d6d9-4940-8160-cb63021a50c6,fe10a2a5-6d69-493e-b12a-dc23d3bab80b,Lüfter dezentral mit WRG (Wand & Decke) 60 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter zentral 10000 m3/h,nicht vorhanden,76ac97e0-8016-44f0-b74b-4ba6ea69f00b,32448dea-291a-44df-9fe6-955187c75959,Lüfter zentral 10000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter zentral 30000 m3/h,nicht vorhanden,03f5fc6b-115b-4b86-a528-2f9311d44c9b,859c3c83-2654-44a9-9f90-6f01f3f203d8,Lüfter zentral 30000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter zentral 5000 m3/h,nicht vorhanden,cc2903a5-0475-48c5-8240-c1b0c251b9d3,214f9360-6b24-496c-afaa-07348538b790,Lüfter zentral 5000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter zentral mit WRG 1000 m3/h,nicht vorhanden,d443a0ef-4fbf-4e66-968b-db209f9ef72b,690f1fb5-b209-4530-8b5e-2ca5acfe30d2,Lüfter zentral mit WRG 1000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter zentral mit WRG 10000 m3/h,nicht vorhanden,466a78bc-2465-4140-b244-fdfd0fd79d84,7ac9df40-2e57-4211-94e5-f7f9d43c091c,Lüfter zentral mit WRG 10000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüfter zentral mit WRG 5000 m3/h,nicht vorhanden,78e6949f-ab42-4243-aab9-10a5a7d12b57,100d4bca-1913-4750-a816-c5ff0926f6d8,Lüfter zentral mit WRG 5000 m3/h,nicht eingestuft,n.e.,n.e.,n.e.
Lüftungskanal (verzinktes Stahlblech),nicht vorhanden,ffa736f4-51b1-4c03-8cdd-3f098993b363,40edb030-3b81-47f6-a24f-acd8b2be0d20,Lüftungskanal (verzinktes Stahlblech),nicht eingestuft,n.e.,n.e.,n.e.
,,,,Magnesiaestrich / Steinholzestrich,Magnesiaestrich / Steinholzestrich,Dep-,Dep-,0
